action,time
Close,1469506633
Close,1469506636
Open,1469506642
Open,1469506644
Open,1469506646
Open,1469506647
Open,1469506648
Open,1469506651
Close,1469506653
Open,1469506653
Open,1469506656
Open,1469506659
Open,1469506659
Close,1469506660
Close,1469506660
Open,1469506662
Close,1469506668
Close,1469506669
Open,1469506670
Open,1469506670
Close,1469506675
Open,1469506675
Open,1469506679
Close,1469506685
Close,1469506685
Open,1469506687
Close,1469506691
Close,1469506700
Close,1469506705
Open,1469506707
Open,1469506707
Close,1469506708
Close,1469506715
Close,1469506721
Open,1469506721
Open,1469506722
Open,1469506723
Open,1469506727
Close,1469506729
Close,1469506729
Open,1469506729
Open,1469506731
Close,1469506732
Close,1469506739
Close,1469506739
Close,1469506740
Open,1469506740
Close,1469506741
Close,1469506743
Open,1469506749
Close,1469506757
Open,1469506759
Open,1469506760
Open,1469506760
Open,1469506761
Open,1469506765
Close,1469506768
Close,1469506769
Open,1469506771
Close,1469506781
Open,1469506782
Open,1469506784
Open,1469506790
Open,1469506794
Close,1469506795
Open,1469506796
Open,1469506797
Open,1469506797
Open,1469506798
Open,1469506800
Open,1469506803
Open,1469506803
Close,1469506805
Open,1469506806
Open,1469506807
Close,1469506810
Open,1469506815
Open,1469506816
Open,1469506816
Open,1469506819
Open,1469506821
Close,1469506824
Close,1469506828
Close,1469506829
Close,1469506831
Close,1469506836
Close,1469506838
Open,1469506840
Close,1469506842
Open,1469506842
Open,1469506843
Open,1469506846
Close,1469506848
Close,1469506849
Open,1469506854
Open,1469506854
Close,1469506856
Close,1469506858
Close,1469506859
Close,1469506859
Open,1469506860
Open,1469506863
Close,1469506865
Open,1469506869
Open,1469506869
Open,1469506870
Close,1469506872
Open,1469506872
Open,1469506873
Close,1469506875
Close,1469506878
Close,1469506882
Close,1469506884
Open,1469506887
Open,1469506890
Close,1469506891
Open,1469506893
Close,1469506893
Open,1469506896
Close,1469506897
Close,1469506901
Close,1469506901
Open,1469506901
Open,1469506903
Open,1469506906
Close,1469506911
Close,1469506914
Open,1469506915
Close,1469506917
Close,1469506919
Open,1469506919
Open,1469506926
Open,1469506930
Open,1469506932
Open,1469506934
Close,1469506935
Open,1469506939
Close,1469506943
Close,1469506943
Open,1469506943
Open,1469506948
Open,1469506949
Open,1469506951
Open,1469506951
Close,1469506955
Open,1469506955
Close,1469506956
Open,1469506956
Close,1469506961
Open,1469506968
Close,1469506969
Open,1469506970
Close,1469506972
Open,1469506972
Close,1469506973
Open,1469506974
Close,1469506975
Close,1469506977
Open,1469506979
Open,1469506980
Close,1469506981
Open,1469506983
Close,1469506993
Open,1469506996
Open,1469507000
Close,1469507002
Open,1469507006
Close,1469507009
Close,1469507010
Close,1469507010
Open,1469507010
Open,1469507013
Close,1469507014
Close,1469507014
Open,1469507016
Open,1469507021
Open,1469507023
Open,1469507023
Open,1469507024
Open,1469507028
Close,1469507030
Close,1469507031
Open,1469507033
Open,1469507033
Close,1469507034
Close,1469507034
Close,1469507038
Open,1469507041
Open,1469507042
Open,1469507043
Open,1469507048
Open,1469507051
Open,1469507053
Open,1469507054
Open,1469507054
Open,1469507054
Close,1469507060
Close,1469507062
Close,1469507062
Close,1469507065
Open,1469507067
