action,time
Close,1469510364
Open,1469510365
Open,1469510366
Close,1469510368
Close,1469510370
Open,1469510371
Close,1469510372
Close,1469510380
Close,1469510385
Close,1469510386
Open,1469510390
Close,1469510391
Close,1469510391
Close,1469510392
Open,1469510394
Close,1469510395
Close,1469510396
Open,1469510397
Open,1469510397
Open,1469510403
Close,1469510404
Close,1469510407
Close,1469510410
Open,1469510415
Close,1469510417
Close,1469510420
Open,1469510420
Close,1469510423
Close,1469510425
Close,1469510426
Open,1469510427
Close,1469510429
Open,1469510433
Close,1469510436
Open,1469510436
Close,1469510439
Close,1469510440
Close,1469510440
Open,1469510445
Open,1469510446
Open,1469510447
Open,1469510450
Close,1469510454
Open,1469510454
Open,1469510455
Close,1469510461
Close,1469510461
Close,1469510463
Open,1469510463
Open,1469510464
Close,1469510468
Open,1469510469
Open,1469510471
Close,1469510472
Open,1469510474
Close,1469510476
Open,1469510480
Close,1469510481
Open,1469510483
Open,1469510484
Open,1469510485
Close,1469510486
Open,1469510486
Open,1469510487
Open,1469510487
Open,1469510490
Open,1469510490
Close,1469510494
Open,1469510494
Close,1469510496
Open,1469510496
Open,1469510496
Close,1469510497
Close,1469510498
Close,1469510503
Close,1469510503
Close,1469510508
Close,1469510509
Open,1469510511
Close,1469510513
Close,1469510516
Open,1469510516
Open,1469510517
Close,1469510518
Open,1469510520
Close,1469510522
Close,1469510522
Open,1469510524
Open,1469510525
Close,1469510527
Open,1469510530
Close,1469510531
Open,1469510531
Close,1469510532
Open,1469510534
Open,1469510535
Open,1469510535
Open,1469510537
Close,1469510538
Open,1469510544
Open,1469510549
Close,1469510552
Open,1469510553
Open,1469510555
Open,1469510556
Open,1469510558
Open,1469510561
Open,1469510564
Open,1469510565
Open,1469510565
Open,1469510566
Close,1469510567
Close,1469510568
Open,1469510569
Close,1469510571
Close,1469510571
Close,1469510575
Close,1469510575
Open,1469510575
Close,1469510579
Close,1469510585
Close,1469510586
Close,1469510593
Close,1469510594
Open,1469510594
Open,1469510599
Close,1469510600
Open,1469510600
Close,1469510602
Open,1469510604
Open,1469510605
Close,1469510606
Close,1469510608
Close,1469510608
Open,1469510611
Close,1469510614
Open,1469510614
Close,1469510615
Close,1469510615
Close,1469510618
Close,1469510618
Open,1469510618
Open,1469510618
Close,1469510623
Close,1469510623
Open,1469510624
Close,1469510625
Close,1469510627
Close,1469510628
Close,1469510632
Close,1469510636
Close,1469510638
Close,1469510641
Close,1469510642
Close,1469510644
Open,1469510646
Open,1469510648
Open,1469510650
Close,1469510651
Close,1469510651
Close,1469510654
Open,1469510655
Open,1469510656
Close,1469510658
Close,1469510658
Close,1469510659
Open,1469510659
Close,1469510661
Close,1469510664
Open,1469510665
Close,1469510667
Close,1469510668
Close,1469510668
Open,1469510669
Open,1469510669
Close,1469510671
Close,1469510675
Close,1469510676
Close,1469510676
Open,1469510677
Open,1469510678
Close,1469510682
Open,1469510682
Close,1469510685
Open,1469510685
Close,1469510687
Open,1469510687
Open,1469510690
Close,1469510691
Open,1469510692
Open,1469510697
Open,1469510698
Close,1469510700
Close,1469510701
Open,1469510710
Open,1469510712
Close,1469510713
Close,1469510715
Close,1469510718
Open,1469510719
Close,1469510722
Open,1469510722
Open,1469510725
Close,1469510726
Open,1469510726
Close,1469510730
Open,1469510734
Open,1469510744
Close,1469510745
Open,1469510747
Close,1469510750
Open,1469510750
Close,1469510753
Close,1469510755
Close,1469510755
Close,1469510756
Close,1469510757
Close,1469510757
Open,1469510759
Close,1469510761
Close,1469510766
Open,1469510766
Close,1469510768
Open,1469510772
Close,1469510773
Close,1469510773
Open,1469510774
Open,1469510775
Open,1469510778
Close,1469510779
Close,1469510780
Close,1469510786
Open,1469510786
Close,1469510792
Open,1469510792
Close,1469510794
Close,1469510795
Close,1469510795
Close,1469510798
Open,1469510798
Open,1469510798
Open,1469510799
Close,1469510803
Close,1469510805
Open,1469510808
Close,1469510812
Open,1469510813
Close,1469510814
Open,1469510815
Open,1469510817
Open,1469510817
Open,1469510818
Close,1469510821
Close,1469510826
Open,1469510828
Close,1469510830
Open,1469510830
Open,1469510831
Close,1469510833
Open,1469510835
Close,1469510839
Close,1469510840
Open,1469510840
Open,1469510842
Close,1469510843
Open,1469510845
Close,1469510846
Close,1469510848
Open,1469510849
Open,1469510850
Open,1469510852
Open,1469510853
Open,1469510858
Open,1469510860
Close,1469510861
Open,1469510862
Open,1469510863
Close,1469510864
Open,1469510864
Close,1469510866
Open,1469510866
Open,1469510867
Open,1469510868
Open,1469510868
Open,1469510872
Close,1469510873
Close,1469510873
Close,1469510874
Close,1469510875
Open,1469510875
Close,1469510883
Open,1469510883
Open,1469510883
Close,1469510889
Close,1469510889
Open,1469510890
Close,1469510891
Close,1469510892
Close,1469510892
Close,1469510894
Open,1469510894
Close,1469510896
Close,1469510898
Close,1469510898
Open,1469510898
Open,1469510902
Close,1469510903
Close,1469510904
Open,1469510905
Close,1469510906
Open,1469510906
Close,1469510907
Open,1469510909
Open,1469510910
Close,1469510911
Close,1469510912
Open,1469510913
Close,1469510916
Open,1469510917
Close,1469510918
Close,1469510921
Close,1469510930
Close,1469510930
Open,1469510930
Open,1469510933
Open,1469510934
Open,1469510934
Close,1469510937
Open,1469510937
Open,1469510940
Open,1469510945
Close,1469510946
Open,1469510947
Close,1469510949
Close,1469510952
Open,1469510954
Open,1469510954
Open,1469510955
Close,1469510960
Close,1469510962
Close,1469510963
Close,1469510964
Close,1469510967
Open,1469510967
Open,1469510968
Close,1469510969
Close,1469510972
Close,1469510972
Open,1469510974
Open,1469510975
Open,1469510976
Open,1469510977
Open,1469510978
Open,1469510980
Close,1469510981
Close,1469510984
Close,1469510985
Close,1469510986
Open,1469510987
Close,1469510988
Close,1469510988
Open,1469510988
Open,1469510990
Open,1469510990
Open,1469510997
Close,1469511001
Open,1469511001
Open,1469511002
Open,1469511005
Close,1469511006
Close,1469511012
Open,1469511021
Open,1469511023
Open,1469511023
Close,1469511028
Open,1469511039
Close,1469511040
Close,1469511043
Close,1469511043
Close,1469511043
Close,1469511044
Open,1469511045
Close,1469511046
Close,1469511053
Close,1469511056
Close,1469511056
Open,1469511056
Close,1469511057
Close,1469511057
Open,1469511058
Close,1469511059
Open,1469511062
Close,1469511065
Open,1469511065
Open,1469511068
Open,1469511068
Close,1469511070
Open,1469511070
Open,1469511070
Close,1469511074
Open,1469511077
Close,1469511083
Close,1469511088
Close,1469511094
Close,1469511095
Open,1469511098
Open,1469511099
Open,1469511100
Close,1469511102
Open,1469511105
Open,1469511105
Close,1469511106
Close,1469511106
Close,1469511107
Close,1469511108
Open,1469511110
Open,1469511111
Close,1469511114
Close,1469511114
Close,1469511118
Open,1469511120
Open,1469511122
Open,1469511126
Close,1469511127
Open,1469511127
Open,1469511130
Close,1469511131
Open,1469511133
Close,1469511138
Close,1469511141
Open,1469511144
Open,1469511147
Open,1469511149
Open,1469511151
Open,1469511152
Open,1469511156
Open,1469511156
Close,1469511158
Open,1469511158
Open,1469511158
Open,1469511160
Open,1469511162
Open,1469511165
Close,1469511166
Close,1469511167
Close,1469511167
Close,1469511168
Close,1469511176
Open,1469511178
Open,1469511179
Close,1469511186
Close,1469511189
Close,1469511190
Open,1469511192
Close,1469511194
Close,1469511194
Open,1469511194
Close,1469511196
Open,1469511198
Open,1469511199
Close,1469511200
Close,1469511208
Open,1469511211
Close,1469511214
Open,1469511215
Close,1469511221
Close,1469511221
Close,1469511223
Close,1469511224
Open,1469511224
Close,1469511225
Open,1469511228
Open,1469511229
Open,1469511232
Close,1469511233
Open,1469511233
Close,1469511237
Close,1469511239
Open,1469511240
Close,1469511243
Open,1469511243
Open,1469511244
Open,1469511244
Close,1469511245
Close,1469511246
Close,1469511247
Close,1469511255
Open,1469511255
Close,1469511257
Close,1469511259
Close,1469511263
Open,1469511263
Close,1469511270
Close,1469511272
Close,1469511273
Close,1469511274
Open,1469511275
Close,1469511276
Open,1469511276
Close,1469511278
Open,1469511280
Close,1469511280
Close,1469511284
Close,1469511286
Open,1469511286
Open,1469511290
Open,1469511291
Close,1469511292
Close,1469511293
Close,1469511296
Close,1469511297
Close,1469511299
Open,1469511299
Open,1469511301
Open,1469511301
Open,1469511303
Open,1469511304
Close,1469511305
