action,time
Open,1469513958
Open,1469513963
Open,1469513965
Close,1469513966
Close,1469513969
Open,1469513970
Close,1469513971
Close,1469513973
Open,1469513973
Close,1469513974
Close,1469513976
Close,1469513980
Close,1469513981
Close,1469513987
Close,1469513990
Close,1469513995
Close,1469513995
Close,1469513999
Close,1469514000
Close,1469514000
Close,1469514001
Close,1469514002
Open,1469514002
Close,1469514005
Open,1469514005
Close,1469514007
Open,1469514007
Open,1469514013
Open,1469514013
Close,1469514014
Open,1469514014
Open,1469514014
Close,1469514016
Close,1469514017
Open,1469514017
Open,1469514024
Close,1469514032
Close,1469514032
Close,1469514040
Close,1469514042
Open,1469514045
Close,1469514047
Close,1469514047
Open,1469514050
Close,1469514051
Open,1469514056
Open,1469514060
Open,1469514073
Close,1469514076
Close,1469514085
Close,1469514085
Close,1469514087
Close,1469514087
Open,1469514087
Open,1469514091
Open,1469514092
Close,1469514094
Open,1469514095
Open,1469514095
Close,1469514097
Close,1469514100
Close,1469514101
Open,1469514104
Open,1469514104
Close,1469514106
Close,1469514107
Close,1469514108
Open,1469514110
Open,1469514111
Open,1469514113
Open,1469514114
Open,1469514117
Close,1469514118
Close,1469514119
Open,1469514120
Open,1469514121
Open,1469514121
Open,1469514123
Close,1469514124
Open,1469514126
Open,1469514127
Close,1469514128
Close,1469514129
Open,1469514130
Open,1469514132
Open,1469514133
Close,1469514137
Open,1469514137
Open,1469514144
Open,1469514147
Open,1469514147
Close,1469514152
Open,1469514155
Open,1469514155
Close,1469514157
Open,1469514157
Open,1469514159
Close,1469514161
Open,1469514161
Close,1469514162
Close,1469514162
Close,1469514166
Close,1469514170
Open,1469514170
Open,1469514170
Open,1469514170
Open,1469514170
Open,1469514174
Close,1469514177
Open,1469514177
Open,1469514179
Open,1469514182
Open,1469514186
Open,1469514186
Close,1469514188
Open,1469514188
Close,1469514191
Close,1469514193
Close,1469514198
Open,1469514200
Open,1469514201
Open,1469514201
Open,1469514202
Open,1469514202
Open,1469514204
Close,1469514206
Open,1469514206
Close,1469514211
Close,1469514212
Open,1469514212
Close,1469514213
Open,1469514214
Open,1469514214
Close,1469514215
Close,1469514217
Open,1469514217
Close,1469514218
Open,1469514219
Open,1469514220
Open,1469514222
Close,1469514225
Open,1469514226
Open,1469514227
Close,1469514230
Open,1469514230
Open,1469514230
Open,1469514232
Open,1469514237
