action,time
Open,1469517593
Close,1469517594
Close,1469517599
Close,1469517601
Open,1469517601
Open,1469517602
Close,1469517603
Close,1469517606
Open,1469517606
Close,1469517609
Open,1469517610
Open,1469517612
Close,1469517613
Close,1469517615
Open,1469517615
Open,1469517620
Open,1469517620
Close,1469517622
Close,1469517622
Open,1469517622
Close,1469517624
Open,1469517626
Close,1469517628
Open,1469517630
Open,1469517633
Open,1469517634
Close,1469517637
Close,1469517638
Open,1469517643
Close,1469517645
Open,1469517645
Open,1469517646
Close,1469517648
Open,1469517648
Open,1469517649
Close,1469517650
Open,1469517650
Open,1469517651
Open,1469517652
Open,1469517658
Close,1469517664
Close,1469517666
Close,1469517667
Open,1469517669
Open,1469517670
Open,1469517671
Open,1469517672
Close,1469517673
Close,1469517676
Open,1469517680
Close,1469517682
Open,1469517684
Open,1469517685
Close,1469517686
Close,1469517686
Open,1469517687
Open,1469517687
Close,1469517691
Open,1469517691
Close,1469517692
Close,1469517693
Open,1469517693
Close,1469517696
Open,1469517696
Close,1469517697
Open,1469517697
Close,1469517700
Open,1469517703
Close,1469517704
Close,1469517707
Open,1469517710
Close,1469517711
Open,1469517711
Close,1469517712
Open,1469517714
Close,1469517716
Close,1469517717
Open,1469517717
Open,1469517718
Close,1469517719
Open,1469517719
Open,1469517719
Open,1469517719
Open,1469517720
Close,1469517721
Open,1469517726
Close,1469517728
Close,1469517728
Open,1469517728
Close,1469517730
Close,1469517730
Open,1469517730
Open,1469517733
Close,1469517734
Open,1469517734
Close,1469517735
Close,1469517743
Close,1469517744
Open,1469517744
Open,1469517747
Open,1469517749
Close,1469517752
Open,1469517753
Open,1469517753
Open,1469517754
Open,1469517757
Close,1469517760
Close,1469517761
Close,1469517761
Close,1469517763
Open,1469517769
Open,1469517769
Close,1469517772
Open,1469517772
Close,1469517774
Open,1469517774
Open,1469517774
Open,1469517774
Close,1469517776
Close,1469517777
Close,1469517777
Close,1469517779
Open,1469517779
Open,1469517780
Close,1469517781
Open,1469517782
Close,1469517784
Close,1469517787
Open,1469517788
Close,1469517791
Close,1469517792
Close,1469517793
Close,1469517794
Open,1469517794
Open,1469517795
Open,1469517798
Open,1469517798
Close,1469517799
Close,1469517800
Close,1469517800
Close,1469517801
Close,1469517802
Open,1469517802
Open,1469517804
Close,1469517805
Open,1469517805
Close,1469517810
Close,1469517810
Close,1469517812
Open,1469517814
Close,1469517816
Close,1469517816
Open,1469517816
Close,1469517820
Close,1469517820
Close,1469517822
Open,1469517823
Close,1469517828
Close,1469517828
Close,1469517829
Open,1469517829
Close,1469517831
Close,1469517831
Open,1469517835
Close,1469517836
Close,1469517837
Open,1469517837
Open,1469517838
