action,time
Close,1469521231
Open,1469521231
Close,1469521232
Open,1469521235
Open,1469521235
Open,1469521236
Close,1469521241
Open,1469521241
Open,1469521243
Close,1469521246
Open,1469521246
Open,1469521247
Open,1469521249
Open,1469521261
Open,1469521263
Open,1469521263
Open,1469521263
Close,1469521267
Close,1469521268
Close,1469521268
Close,1469521268
Close,1469521271
Open,1469521272
Close,1469521273
Close,1469521274
Close,1469521274
Open,1469521275
Close,1469521276
Close,1469521277
Close,1469521284
Open,1469521284
Close,1469521286
Open,1469521287
Close,1469521290
Open,1469521293
Close,1469521294
Close,1469521294
Open,1469521297
Open,1469521299
Open,1469521300
Open,1469521301
Open,1469521302
Close,1469521304
Open,1469521304
Close,1469521305
Open,1469521306
Open,1469521315
Open,1469521316
Close,1469521317
Close,1469521319
Close,1469521321
Close,1469521324
Close,1469521324
Close,1469521325
Close,1469521327
Close,1469521328
Open,1469521328
Open,1469521332
Open,1469521332
Open,1469521332
Open,1469521334
Open,1469521334
Close,1469521337
Open,1469521337
Open,1469521339
Close,1469521340
Close,1469521341
Open,1469521341
Close,1469521343
Close,1469521343
Close,1469521343
Open,1469521347
Open,1469521352
Open,1469521353
Close,1469521358
Open,1469521360
Open,1469521361
Close,1469521364
Open,1469521364
Close,1469521367
Open,1469521367
Close,1469521369
Open,1469521369
Close,1469521370
Open,1469521372
Open,1469521375
Close,1469521376
Close,1469521380
Open,1469521380
Open,1469521385
Open,1469521387
Open,1469521389
Close,1469521391
Open,1469521391
Open,1469521391
Close,1469521393
Open,1469521394
Close,1469521395
Close,1469521396
Open,1469521396
Close,1469521398
Close,1469521400
Close,1469521401
Close,1469521402
Close,1469521402
Open,1469521402
Close,1469521404
Open,1469521405
Close,1469521409
Open,1469521410
Open,1469521411
Open,1469521412
Open,1469521413
Open,1469521413
Close,1469521414
Close,1469521416
Close,1469521416
Open,1469521416
Close,1469521418
Open,1469521418
Open,1469521419
Close,1469521420
Close,1469521421
Open,1469521423
Close,1469521427
Close,1469521432
Open,1469521432
Close,1469521433
Open,1469521433
Close,1469521434
Open,1469521437
Close,1469521440
Close,1469521440
Close,1469521440
Open,1469521441
Close,1469521443
Open,1469521446
Open,1469521448
Open,1469521450
Close,1469521451
Open,1469521452
Close,1469521454
Open,1469521458
Close,1469521460
Close,1469521462
Close,1469521462
Open,1469521462
Open,1469521465
Close,1469521466
Open,1469521469
Close,1469521470
Open,1469521470
Open,1469521472
Close,1469521475
Close,1469521477
Open,1469521477
Open,1469521477
Open,1469521478
Close,1469521479
Close,1469521482
Open,1469521483
Close,1469521484
Open,1469521484
Open,1469521484
Open,1469521485
Open,1469521488
Close,1469521489
Open,1469521491
Close,1469521499
Open,1469521501
Close,1469521507
Close,1469521507
Open,1469521508
Open,1469521508
Open,1469521509
Close,1469521511
Close,1469521512
Open,1469521512
Open,1469521513
Close,1469521515
Open,1469521516
Open,1469521516
Close,1469521517
Close,1469521518
Open,1469521518
Close,1469521521
Open,1469521523
Open,1469521523
Open,1469521523
Open,1469521523
Close,1469521524
Open,1469521525
Close,1469521531
Close,1469521531
Open,1469521534
Open,1469521534
Close,1469521536
Open,1469521541
Close,1469521542
Close,1469521543
Close,1469521544
Close,1469521545
Open,1469521550
Close,1469521551
Close,1469521552
Open,1469521554
Close,1469521555
Close,1469521556
Close,1469521557
Close,1469521563
Open,1469521567
Open,1469521572
Open,1469521573
Open,1469521581
Close,1469521582
Close,1469521583
Close,1469521584
Open,1469521592
Open,1469521596
Close,1469521597
Open,1469521598
Close,1469521599
Close,1469521603
Close,1469521604
Close,1469521604
Open,1469521606
Open,1469521606
Close,1469521607
Open,1469521612
Open,1469521614
Close,1469521616
Close,1469521618
Close,1469521619
Open,1469521622
Open,1469521623
Open,1469521628
Open,1469521629
Close,1469521631
Open,1469521631
Open,1469521633
Open,1469521648
Close,1469521650
Close,1469521653
Close,1469521655
Open,1469521657
Open,1469521657
Open,1469521658
Open,1469521659
Open,1469521661
Close,1469521663
Open,1469521663
Close,1469521666
Open,1469521666
Close,1469521669
Close,1469521669
Close,1469521672
Open,1469521675
Open,1469521676
Close,1469521679
Close,1469521679
Close,1469521680
Close,1469521681
Open,1469521681
Close,1469521685
Open,1469521685
Open,1469521687
Close,1469521690
Open,1469521693
Open,1469521693
Open,1469521693
Close,1469521694
Close,1469521694
Open,1469521694
Close,1469521695
Open,1469521695
Open,1469521696
Close,1469521703
Open,1469521704
Open,1469521704
Open,1469521704
Open,1469521705
Open,1469521709
Close,1469521710
Open,1469521711
Open,1469521711
Open,1469521714
Open,1469521720
Open,1469521722
Close,1469521724
Close,1469521727
Close,1469521728
Close,1469521731
Close,1469521731
Open,1469521731
Open,1469521735
Open,1469521737
Close,1469521738
Open,1469521739
Close,1469521741
Close,1469521744
Close,1469521751
Open,1469521753
Close,1469521754
Open,1469521755
Close,1469521758
Open,1469521759
Close,1469521766
Close,1469521766
Open,1469521779
Close,1469521780
Open,1469521780
Open,1469521782
Close,1469521783
Close,1469521785
Close,1469521791
Close,1469521797
Open,1469521799
Close,1469521801
Close,1469521802
Close,1469521803
Open,1469521803
Close,1469521804
Close,1469521804
Open,1469521806
Open,1469521808
Close,1469521809
Open,1469521809
Close,1469521812
Close,1469521813
Open,1469521814
Close,1469521817
Close,1469521821
Open,1469521822
Open,1469521823
Close,1469521825
Open,1469521826
Close,1469521833
Open,1469521833
Open,1469521833
Open,1469521834
Open,1469521840
Open,1469521841
Close,1469521844
Close,1469521849
Open,1469521850
Open,1469521854
Open,1469521857
Open,1469521864
Open,1469521864
Close,1469521865
Open,1469521865
Open,1469521865
Open,1469521867
Open,1469521868
Open,1469521873
Close,1469521877
Close,1469521879
Close,1469521880
Open,1469521881
Close,1469521883
Open,1469521883
Open,1469521888
Close,1469521891
Open,1469521892
Open,1469521895
Close,1469521896
Open,1469521900
Open,1469521901
Close,1469521905
Close,1469521908
Close,1469521908
Open,1469521908
Open,1469521910
Open,1469521914
Open,1469521915
Open,1469521917
Close,1469521919
Open,1469521920
Open,1469521920
Close,1469521923
Close,1469521923
Close,1469521924
Close,1469521924
Close,1469521925
Open,1469521925
Close,1469521926
Open,1469521927
Close,1469521931
Close,1469521932
Close,1469521933
Close,1469521933
Close,1469521934
Close,1469521936
Close,1469521936
Open,1469521936
Close,1469521938
Close,1469521942
Close,1469521943
Close,1469521949
Close,1469521952
Open,1469521952
Close,1469521953
Close,1469521956
Close,1469521958
Close,1469521958
Close,1469521961
Open,1469521961
Close,1469521964
Close,1469521964
Close,1469521964
Close,1469521964
Close,1469521965
Open,1469521965
Open,1469521971
Open,1469521972
Open,1469521974
Close,1469521978
Open,1469521980
Open,1469521981
Open,1469521982
Open,1469521986
Close,1469521987
Open,1469521987
Open,1469521991
Open,1469521994
Open,1469521995
Close,1469521996
Close,1469521996
Open,1469521996
Close,1469521998
Open,1469521998
Open,1469521998
Close,1469521999
Close,1469522000
Open,1469522002
Open,1469522003
Open,1469522004
Close,1469522005
Open,1469522008
Close,1469522013
Open,1469522014
Close,1469522015
Close,1469522015
Close,1469522016
Close,1469522019
Open,1469522020
Close,1469522023
Open,1469522023
Close,1469522025
Close,1469522027
Close,1469522027
Close,1469522029
Open,1469522037
Open,1469522038
Open,1469522040
Close,1469522041
Open,1469522041
Close,1469522042
Open,1469522042
Open,1469522044
Open,1469522048
Open,1469522051
Open,1469522052
Close,1469522053
Open,1469522055
Open,1469522057
Open,1469522059
Open,1469522059
Open,1469522060
Close,1469522061
Open,1469522065
Close,1469522066
Open,1469522069
Open,1469522069
Open,1469522073
Close,1469522074
Close,1469522075
Close,1469522077
Open,1469522077
Open,1469522079
Open,1469522081
Close,1469522083
Open,1469522083
Close,1469522085
Close,1469522086
Open,1469522088
Close,1469522090
Close,1469522095
Close,1469522095
Close,1469522095
Close,1469522098
Close,1469522098
Close,1469522102
Close,1469522107
Open,1469522107
Open,1469522107
Open,1469522111
Open,1469522112
Open,1469522114
Close,1469522115
Close,1469522124
Open,1469522125
Open,1469522126
Open,1469522127
Open,1469522128
Open,1469522128
Close,1469522130
Close,1469522133
Close,1469522134
Close,1469522135
Close,1469522135
Open,1469522136
Open,1469522139
Open,1469522140
Open,1469522142
Close,1469522143
Open,1469522143
Open,1469522144
Close,1469522146
Close,1469522147
Close,1469522149
Close,1469522152
Close,1469522152
Close,1469522153
Close,1469522154
Open,1469522154
Close,1469522155
Open,1469522159
Open,1469522159
Open,1469522159
Close,1469522160
Open,1469522160
Close,1469522161
Close,1469522161
Open,1469522163
Open,1469522164
Open,1469522164
Open,1469522167
Open,1469522169
Open,1469522171
Close,1469522176
Close,1469522178
Open,1469522183
Close,1469522185
Open,1469522194
Close,1469522195
Open,1469522197
Open,1469522199
Open,1469522202
Open,1469522204
Close,1469522205
Open,1469522205
Close,1469522207
Close,1469522209
Open,1469522209
Close,1469522212
Open,1469522214
Close,1469522215
Open,1469522217
Open,1469522217
Close,1469522218
Open,1469522220
Open,1469522222
Close,1469522224
Close,1469522225
Close,1469522226
Open,1469522227
Open,1469522234
Close,1469522236
Close,1469522237
Close,1469522237
Open,1469522237
Close,1469522240
Open,1469522241
Open,1469522243
Close,1469522246
Close,1469522250
Close,1469522254
Close,1469522254
Close,1469522256
Close,1469522258
Close,1469522261
Close,1469522262
Open,1469522264
Close,1469522266
Close,1469522267
Close,1469522267
Open,1469522267
Open,1469522267
Open,1469522269
Close,1469522270
Open,1469522274
Open,1469522274
Open,1469522275
Close,1469522278
Open,1469522278
Open,1469522280
Close,1469522281
Close,1469522281
Close,1469522283
Open,1469522286
Close,1469522294
Open,1469522299
Close,1469522301
Open,1469522302
Open,1469522303
Open,1469522303
Open,1469522304
Close,1469522309
Close,1469522309
Close,1469522310
Close,1469522312
Open,1469522313
Close,1469522314
Open,1469522315
Close,1469522316
Open,1469522316
Close,1469522318
Open,1469522320
Close,1469522322
Close,1469522323
Close,1469522324
Open,1469522324
Close,1469522327
Close,1469522328
Close,1469522333
Close,1469522333
Close,1469522334
Close,1469522336
Close,1469522337
Close,1469522338
Open,1469522338
Close,1469522339
Open,1469522339
Open,1469522340
Close,1469522345
Open,1469522345
Open,1469522346
Open,1469522347
Open,1469522349
Open,1469522350
Close,1469522351
Close,1469522353
Close,1469522353
Open,1469522353
Open,1469522356
Open,1469522357
Close,1469522360
Open,1469522362
Open,1469522363
Close,1469522365
Open,1469522366
Close,1469522369
Open,1469522369
Close,1469522370
Close,1469522371
Open,1469522374
Close,1469522375
Open,1469522377
Open,1469522377
Open,1469522378
Open,1469522380
Close,1469522382
Close,1469522389
Open,1469522390
Open,1469522395
Close,1469522396
Close,1469522399
Open,1469522399
Open,1469522401
Open,1469522403
Close,1469522404
Open,1469522405
Open,1469522408
Close,1469522416
Close,1469522417
Close,1469522418
Close,1469522419
Close,1469522422
Close,1469522425
Open,1469522425
Close,1469522426
Close,1469522427
Open,1469522427
Close,1469522429
Open,1469522429
Open,1469522429
Open,1469522430
Open,1469522432
Open,1469522434
Open,1469522435
Close,1469522436
Open,1469522436
Close,1469522437
Close,1469522437
Open,1469522438
Close,1469522447
Close,1469522447
Open,1469522453
Open,1469522454
Close,1469522455
Close,1469522455
Close,1469522459
Close,1469522461
Open,1469522461
Open,1469522461
Close,1469522462
Open,1469522462
Open,1469522466
Open,1469522467
Close,1469522468
Open,1469522474
Close,1469522476
Close,1469522478
Close,1469522482
Close,1469522482
Open,1469522484
Open,1469522484
Open,1469522486
Open,1469522487
Close,1469522490
Open,1469522491
Open,1469522493
Open,1469522494
Close,1469522495
Close,1469522496
Close,1469522499
Open,1469522499
Open,1469522502
Open,1469522504
Close,1469522505
Close,1469522508
Close,1469522515
Open,1469522518
Close,1469522520
Open,1469522522
Close,1469522523
Close,1469522523
Open,1469522523
Open,1469522525
Open,1469522526
Open,1469522526
Close,1469522529
Open,1469522530
Open,1469522531
Open,1469522536
Close,1469522537
Close,1469522539
Close,1469522540
Open,1469522540
Open,1469522542
Close,1469522543
Close,1469522546
Close,1469522551
Open,1469522553
Open,1469522554
Close,1469522555
Close,1469522556
Close,1469522556
Open,1469522557
Open,1469522557
Close,1469522558
Close,1469522561
Close,1469522563
Open,1469522571
Close,1469522572
Open,1469522574
Open,1469522576
Close,1469522578
Close,1469522582
Open,1469522582
Open,1469522583
Close,1469522591
Close,1469522598
Close,1469522602
Open,1469522603
Close,1469522604
Close,1469522608
Open,1469522610
Close,1469522611
Open,1469522611
Close,1469522614
Close,1469522615
Open,1469522616
Close,1469522618
Open,1469522619
Open,1469522622
Open,1469522623
Open,1469522623
Close,1469522624
Open,1469522624
Open,1469522627
Close,1469522630
Close,1469522631
Close,1469522632
Open,1469522635
Close,1469522639
Close,1469522643
Open,1469522644
Open,1469522645
Open,1469522645
Close,1469522647
Close,1469522649
Close,1469522651
Open,1469522653
Close,1469522654
Open,1469522655
Open,1469522657
Open,1469522658
Close,1469522659
Close,1469522660
Close,1469522661
Open,1469522663
Open,1469522663
Close,1469522665
Open,1469522665
Close,1469522666
Close,1469522668
Open,1469522668
Close,1469522670
Open,1469522670
Close,1469522672
Open,1469522676
Open,1469522676
Close,1469522681
Open,1469522685
Close,1469522688
Close,1469522689
Open,1469522693
Open,1469522695
Close,1469522699
Close,1469522701
Open,1469522703
Open,1469522703
Open,1469522706
Open,1469522707
Close,1469522709
Close,1469522710
Open,1469522711
Close,1469522713
Open,1469522713
Open,1469522715
Close,1469522716
Open,1469522716
Open,1469522717
Open,1469522718
Open,1469522719
Close,1469522721
Close,1469522722
Open,1469522723
Open,1469522724
Close,1469522725
Close,1469522725
Open,1469522725
Open,1469522725
Open,1469522725
Open,1469522725
Open,1469522726
Close,1469522728
Close,1469522734
Open,1469522735
Close,1469522736
Close,1469522738
Close,1469522740
Close,1469522741
Close,1469522742
Close,1469522744
Close,1469522746
Close,1469522747
Open,1469522747
Open,1469522748
Open,1469522750
Close,1469522755
Close,1469522757
Open,1469522759
Close,1469522760
Open,1469522760
Open,1469522764
Close,1469522766
Open,1469522766
Open,1469522766
Close,1469522767
Open,1469522768
Open,1469522768
Close,1469522769
Close,1469522770
Open,1469522771
Close,1469522774
Close,1469522776
Close,1469522782
Open,1469522783
Open,1469522783
Close,1469522786
Close,1469522786
Close,1469522786
Close,1469522790
Close,1469522791
Close,1469522795
Close,1469522795
Close,1469522796
Open,1469522796
Open,1469522799
Close,1469522801
Open,1469522802
Open,1469522802
Close,1469522804
Open,1469522811
Open,1469522818
Open,1469522818
Close,1469522822
Open,1469522827
Open,1469522827
Close,1469522828
Close,1469522828
Close,1469522829
Close,1469522833
Close,1469522834
Close,1469522836
Open,1469522838
Close,1469522839
Close,1469522842
Open,1469522842
Close,1469522844
Open,1469522844
Open,1469522845
Close,1469522848
Close,1469522848
Close,1469522848
Open,1469522848
Open,1469522854
Close,1469522857
Close,1469522868
Open,1469522869
Close,1469522873
Close,1469522874
Open,1469522875
Close,1469522879
Open,1469522880
Close,1469522881
Open,1469522881
Open,1469522886
Open,1469522889
Close,1469522890
Close,1469522892
Open,1469522894
Close,1469522895
Open,1469522895
Open,1469522897
Close,1469522898
Open,1469522898
Close,1469522901
Open,1469522905
Open,1469522907
Close,1469522909
Close,1469522910
Close,1469522911
Close,1469522911
Close,1469522916
Close,1469522918
Open,1469522918
Close,1469522921
Open,1469522922
Close,1469522923
Open,1469522925
Close,1469522926
Open,1469522928
Close,1469522930
Open,1469522931
Close,1469522934
Open,1469522934
Open,1469522934
Close,1469522936
