action,time
Open,1469528406
Close,1469528408
Close,1469528409
Close,1469528412
Open,1469528415
Close,1469528416
Close,1469528416
Open,1469528416
Close,1469528427
Close,1469528430
Open,1469528430
Open,1469528430
Close,1469528431
Open,1469528431
Open,1469528433
Close,1469528434
Close,1469528434
Open,1469528434
Close,1469528436
Close,1469528438
Close,1469528440
Close,1469528442
Close,1469528443
Open,1469528444
Open,1469528444
Open,1469528445
Close,1469528446
Open,1469528447
Open,1469528450
Open,1469528451
Open,1469528454
Open,1469528463
Close,1469528465
Close,1469528470
Close,1469528471
Close,1469528475
Close,1469528476
Close,1469528477
Open,1469528478
Open,1469528479
Open,1469528479
Open,1469528484
Open,1469528484
Open,1469528486
Close,1469528487
Close,1469528488
Open,1469528490
Close,1469528495
Close,1469528495
Close,1469528495
Close,1469528497
Close,1469528499
Close,1469528500
Close,1469528500
Close,1469528502
Close,1469528503
Close,1469528507
Open,1469528509
Close,1469528510
Open,1469528510
Close,1469528511
Open,1469528511
Open,1469528512
Open,1469528514
Close,1469528516
Close,1469528517
Close,1469528517
Open,1469528518
Close,1469528526
Close,1469528528
Close,1469528529
Close,1469528533
Close,1469528533
Close,1469528533
Close,1469528534
Close,1469528534
Open,1469528534
Close,1469528535
Open,1469528536
Open,1469528537
Open,1469528538
Close,1469528539
Close,1469528540
Close,1469528540
Open,1469528541
Close,1469528543
Open,1469528544
Open,1469528546
Open,1469528547
Close,1469528548
Open,1469528550
Open,1469528551
Close,1469528554
Open,1469528554
Close,1469528555
Open,1469528555
Open,1469528558
Open,1469528564
Close,1469528565
Open,1469528565
Open,1469528565
Open,1469528566
Open,1469528566
Close,1469528568
Open,1469528568
Open,1469528570
Close,1469528573
Close,1469528578
Close,1469528578
Open,1469528584
Open,1469528585
Close,1469528586
Close,1469528590
Close,1469528591
Open,1469528591
Open,1469528593
Close,1469528594
Close,1469528595
Close,1469528595
Close,1469528595
Open,1469528597
Close,1469528598
Open,1469528598
Close,1469528601
Close,1469528602
Close,1469528603
Open,1469528604
Open,1469528605
Open,1469528608
Close,1469528609
Open,1469528615
Open,1469528615
Close,1469528619
Open,1469528620
Close,1469528623
Close,1469528624
Open,1469528625
Open,1469528627
Open,1469528627
Open,1469528628
Close,1469528630
Open,1469528631
Open,1469528644
Close,1469528648
Open,1469528657
Open,1469528657
Close,1469528658
Open,1469528660
Open,1469528663
Close,1469528672
Open,1469528673
Open,1469528674
Close,1469528675
Close,1469528675
Close,1469528675
Open,1469528675
Open,1469528676
Close,1469528678
Open,1469528682
Open,1469528682
Close,1469528688
Close,1469528689
Close,1469528690
Open,1469528690
Open,1469528692
Close,1469528695
Close,1469528696
Open,1469528697
Close,1469528699
Close,1469528701
Open,1469528702
Open,1469528706
Close,1469528707
Close,1469528710
Close,1469528710
Open,1469528711
Open,1469528711
Close,1469528718
Open,1469528719
Close,1469528722
Close,1469528729
Open,1469528729
Close,1469528732
Open,1469528732
Open,1469528736
Open,1469528736
Close,1469528740
Open,1469528740
Open,1469528742
Open,1469528743
